1	sine_volume_knob	0.00 ;
8000	sine_volume_knob	0.00 ;
150	sine_volume_knob	0.50	;
150	sine_volume_knob	0.80	;
150	sine_volume_knob	1.10	;
150	sine_volume_knob	1.40	;
150	sine_volume_knob	1.70	;
150	sine_volume_knob	2.00	;
150	sine_volume_knob	2.30	;
150	sine_volume_knob	2.60	;
150	sine_volume_knob	2.90	;
150	sine_volume_knob	3.20	;
150	sine_volume_knob	3.50	;
150	sine_volume_knob	3.80	;
150	sine_volume_knob	4.10	;
150	sine_volume_knob	4.40	;
150	sine_volume_knob	4.70	;
150	sine_volume_knob	5.00	;
150	sine_volume_knob	5.30	;
150	sine_volume_knob	5.60	;
150	sine_volume_knob	5.90	;
150	sine_volume_knob	6.20	;
150	sine_volume_knob	6.50	;
150	sine_volume_knob	6.80	;
150	sine_volume_knob	7.10	;
150	sine_volume_knob	7.40	;
150	sine_volume_knob	7.70	;
150	sine_volume_knob	8.00	;
150	sine_volume_knob	8.30	;
150	sine_volume_knob	8.60	;
150	sine_volume_knob	8.90	;
150	sine_volume_knob	9.20	;
150	sine_volume_knob	9.50	;
150	sine_volume_knob	9.80	;
150	sine_volume_knob	10.10	;
150	sine_volume_knob	10.40	;
150	sine_volume_knob	10.70	;
150	sine_volume_knob	11.00	;
150	sine_volume_knob	11.30	;
150	sine_volume_knob	11.60	;
150	sine_volume_knob	11.90	;
150	sine_volume_knob	12.20	;
150	sine_volume_knob	12.50	;
150	sine_volume_knob	12.80	;
150	sine_volume_knob	13.10	;
150	sine_volume_knob	13.40	;
150	sine_volume_knob	13.70	;
150	sine_volume_knob	14.00	;
150	sine_volume_knob	14.30	;
150	sine_volume_knob	14.60	;
150	sine_volume_knob	14.90	;
150	sine_volume_knob	15.20	;
150	sine_volume_knob	15.50	;
150	sine_volume_knob	15.80	;
150	sine_volume_knob	16.10	;
150	sine_volume_knob	16.40	;
150	sine_volume_knob	16.70	;
150	sine_volume_knob	17.00	;
150	sine_volume_knob	17.30	;
150	sine_volume_knob	17.60	;
150	sine_volume_knob	17.90	;
150	sine_volume_knob	18.20	;
150	sine_volume_knob	18.50	;
150	sine_volume_knob	18.80	;
150	sine_volume_knob	19.10	;
150	sine_volume_knob	19.40	;
150	sine_volume_knob	19.70	;
150	sine_volume_knob	20.00	;
150	sine_volume_knob	20.30	;
150	sine_volume_knob	20.60	;
150	sine_volume_knob	20.90	;
150	sine_volume_knob	21.20	;
150	sine_volume_knob	21.50	;
150	sine_volume_knob	21.80	;
150	sine_volume_knob	22.10	;
150	sine_volume_knob	22.40	;
150	sine_volume_knob	22.70	;
150	sine_volume_knob	23.00	;
150	sine_volume_knob	23.30	;
150	sine_volume_knob	23.60	;
150	sine_volume_knob	23.90	;
150	sine_volume_knob	24.20	;
150	sine_volume_knob	24.50	;
150	sine_volume_knob	24.80	;
150	sine_volume_knob	25.10	;
150	sine_volume_knob	25.40	;
150	sine_volume_knob	25.70	;
150	sine_volume_knob	26.00	;
150	sine_volume_knob	26.30	;
150	sine_volume_knob	26.60	;
150	sine_volume_knob	26.90	;
150	sine_volume_knob	27.20	;
150	sine_volume_knob	27.50	;
150	sine_volume_knob	27.80	;
150	sine_volume_knob	28.10	;
150	sine_volume_knob	28.40	;
150	sine_volume_knob	28.70	;
150	sine_volume_knob	29.00	;
150	sine_volume_knob	29.30	;
150	sine_volume_knob	29.60	;
150	sine_volume_knob	29.90	;
150	sine_volume_knob	30.20	;
150	sine_volume_knob	30.50	;
150	sine_volume_knob	30.80	;
150	sine_volume_knob	31.10	;
150	sine_volume_knob	31.40	;
150	sine_volume_knob	31.70	;
150	sine_volume_knob	32.00	;
150	sine_volume_knob	32.30	;
150	sine_volume_knob	32.60	;
150	sine_volume_knob	32.90	;
150	sine_volume_knob	33.20	;
150	sine_volume_knob	33.50	;
150	sine_volume_knob	33.80	;
150	sine_volume_knob	34.10	;
150	sine_volume_knob	34.40	;
150	sine_volume_knob	34.70	;
150	sine_volume_knob	35.00	;
150	sine_volume_knob	35.30	;
150	sine_volume_knob	35.60	;
150	sine_volume_knob	35.90	;
150	sine_volume_knob	36.20	;
150	sine_volume_knob	36.50	;
150	sine_volume_knob	36.80	;
150	sine_volume_knob	37.10	;
150	sine_volume_knob	37.40	;
150	sine_volume_knob	37.70	;
150	sine_volume_knob	38.00	;
150	sine_volume_knob	38.30	;
150	sine_volume_knob	38.60	;
150	sine_volume_knob	38.90	;
150	sine_volume_knob	39.20	;
150	sine_volume_knob	39.50	;
150	sine_volume_knob	39.80	;
150	sine_volume_knob	40.10	;
150	sine_volume_knob	40.40	;
150	sine_volume_knob	40.70	;
150	sine_volume_knob	41.00	;
150	sine_volume_knob	41.30	;
150	sine_volume_knob	41.60	;
150	sine_volume_knob	41.90	;
150	sine_volume_knob	42.20	;
150	sine_volume_knob	42.50	;
150	sine_volume_knob	42.80	;
150	sine_volume_knob	43.10	;
150	sine_volume_knob	43.40	;
150	sine_volume_knob	43.70	;
150	sine_volume_knob	44.00	;
150	sine_volume_knob	44.30	;
150	sine_volume_knob	44.60	;
150	sine_volume_knob	44.90	;
150	sine_volume_knob	45.20	;
150	sine_volume_knob	45.50	;
150	sine_volume_knob	45.80	;
150	sine_volume_knob	46.10	;
150	sine_volume_knob	46.40	;
150	sine_volume_knob	46.70	;
150	sine_volume_knob	47.00	;
150	sine_volume_knob	47.30	;
150	sine_volume_knob	47.60	;
150	sine_volume_knob	47.90	;
150	sine_volume_knob	48.20	;
150	sine_volume_knob	48.50	;
150	sine_volume_knob	48.80	;
150	sine_volume_knob	49.10	;
150	sine_volume_knob	49.40	;
150	sine_volume_knob	49.70	;
150	sine_volume_knob	50.00	;
150	sine_volume_knob	50.30	;
150	sine_volume_knob	50.60	;
150	sine_volume_knob	50.90	;
150	sine_volume_knob	51.20	;
150	sine_volume_knob	51.50	;
150	sine_volume_knob	51.80	;
150	sine_volume_knob	52.10	;
150	sine_volume_knob	52.40	;
150	sine_volume_knob	52.70	;
150	sine_volume_knob	53.00	;
150	sine_volume_knob	53.30	;
150	sine_volume_knob	53.60	;
150	sine_volume_knob	53.90	;
150	sine_volume_knob	54.20	;
150	sine_volume_knob	54.50	;
150	sine_volume_knob	54.80	;
150	sine_volume_knob	55.10	;
150	sine_volume_knob	55.40	;
150	sine_volume_knob	55.70	;
150	sine_volume_knob	56.00	;
150	sine_volume_knob	56.30	;
150	sine_volume_knob	56.60	;
150	sine_volume_knob	56.90	;
150	sine_volume_knob	57.20	;
150	sine_volume_knob	57.50	;
150	sine_volume_knob	57.80	;
150	sine_volume_knob	58.10	;
150	sine_volume_knob	58.40	;
150	sine_volume_knob	58.70	;
150	sine_volume_knob	59.00	;
150	sine_volume_knob	59.30	;
150	sine_volume_knob	59.60	;
150	sine_volume_knob	59.90	;
150	sine_volume_knob	60.20	;
150	sine_volume_knob	60.50	;
150	sine_volume_knob	60.80	;
150	sine_volume_knob	61.10	;
150	sine_volume_knob	61.40	;
150	sine_volume_knob	61.70	;
150	sine_volume_knob	62.00	;
150	sine_volume_knob	62.30	;
150	sine_volume_knob	62.60	;
150	sine_volume_knob	62.90	;
150	sine_volume_knob	63.20	;
150	sine_volume_knob	63.50	;
150	sine_volume_knob	63.80	;
150	sine_volume_knob	64.10	;
150	sine_volume_knob	64.40	;
150	sine_volume_knob	64.70	;
150	sine_volume_knob	65.00	;
150	sine_volume_knob	65.30	;
150	sine_volume_knob	65.60	;
150	sine_volume_knob	65.90	;
150	sine_volume_knob	66.20	;
150	sine_volume_knob	66.50	;
150	sine_volume_knob	66.80	;
150	sine_volume_knob	67.10	;
150	sine_volume_knob	67.40	;
150	sine_volume_knob	67.70	;
150	sine_volume_knob	68.00	;
150	sine_volume_knob	68.30	;
150	sine_volume_knob	68.60	;
150	sine_volume_knob	68.90	;
150	sine_volume_knob	69.20	;
150	sine_volume_knob	69.50	;
150	sine_volume_knob	69.80	;
150	sine_volume_knob	70.10	;
150	sine_volume_knob	70.40	;
150	sine_volume_knob	70.70	;
150	sine_volume_knob	71.00	;
150	sine_volume_knob	71.30	;
150	sine_volume_knob	71.60	;
150	sine_volume_knob	71.90	;
150	sine_volume_knob	72.20	;
150	sine_volume_knob	72.50	;
150	sine_volume_knob	72.80	;
150	sine_volume_knob	73.10	;
150	sine_volume_knob	73.40	;
150	sine_volume_knob	73.70	;
150	sine_volume_knob	74.00	;
150	sine_volume_knob	74.30	;
150	sine_volume_knob	74.60	;
150	sine_volume_knob	74.90	;
150	sine_volume_knob	75.20	;
150	sine_volume_knob	75.50	;
150	sine_volume_knob	75.80	;
150	sine_volume_knob	76.10	;
150	sine_volume_knob	76.40	;
150	sine_volume_knob	76.70	;
150	sine_volume_knob	77.00	;
150	sine_volume_knob	77.30	;
150	sine_volume_knob	77.60	;
150	sine_volume_knob	77.90	;
150	sine_volume_knob	78.20	;
150	sine_volume_knob	78.50	;
150	sine_volume_knob	78.80	;
150	sine_volume_knob	79.10	;
150	sine_volume_knob	79.40	;
150	sine_volume_knob	79.70	;
150	sine_volume_knob	80.00	;
150	sine_volume_knob	80.30	;
150	sine_volume_knob	80.60	;
150	sine_volume_knob	80.90	;
150	sine_volume_knob	81.20	;
150	sine_volume_knob	81.50	;
150	sine_volume_knob	81.80	;
150	sine_volume_knob	82.10	;
150	sine_volume_knob	82.40	;
150	sine_volume_knob	82.70	;
150	sine_volume_knob	83.00	;
150	sine_volume_knob	83.30	;
